group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_circle_zero_area,,,,982500.0,ns,108
Zero Area Checks,any_circle_zero_area,,,,1888625.0,ns,216
Zero Area Checks,any_circle_zero_area,,,,3251625.0,ns,324
Zero Area Checks,any_circle_zero_area,,,,3867166.0,ns,432
Zero Area Checks,any_circle_zero_area,,,,4886584.0,ns,540
Zero Area Checks,any_circle_zero_area,,,,5673250.0,ns,648
Zero Area Checks,any_circle_zero_area,,,,6559209.0,ns,756
Zero Area Checks,any_circle_zero_area,,,,7621416.0,ns,864
Zero Area Checks,any_circle_zero_area,,,,8430875.0,ns,972
Zero Area Checks,any_circle_zero_area,,,,9292458.0,ns,1080
Zero Area Checks,any_circle_zero_area,,,,10902833.0,ns,1188
Zero Area Checks,any_circle_zero_area,,,,10584291.0,ns,1296
Zero Area Checks,any_circle_zero_area,,,,11594292.0,ns,1404
Zero Area Checks,any_circle_zero_area,,,,12549667.0,ns,1512
Zero Area Checks,any_circle_zero_area,,,,13413250.0,ns,1620
Zero Area Checks,any_circle_zero_area,,,,14258459.0,ns,1728
Zero Area Checks,any_circle_zero_area,,,,15277708.0,ns,1836
Zero Area Checks,any_circle_zero_area,,,,16047500.0,ns,1944
Zero Area Checks,any_circle_zero_area,,,,16993292.0,ns,2052
Zero Area Checks,any_circle_zero_area,,,,17953583.0,ns,2160
Zero Area Checks,any_circle_zero_area,,,,18681666.0,ns,2268
Zero Area Checks,any_circle_zero_area,,,,19729708.0,ns,2376
Zero Area Checks,any_circle_zero_area,,,,20504833.0,ns,2484
Zero Area Checks,any_circle_zero_area,,,,21384083.0,ns,2592
Zero Area Checks,any_circle_zero_area,,,,22334083.0,ns,2700
Zero Area Checks,any_circle_zero_area,,,,23183708.0,ns,2808
Zero Area Checks,any_circle_zero_area,,,,24159166.0,ns,2916
Zero Area Checks,any_circle_zero_area,,,,24964334.0,ns,3024
Zero Area Checks,any_circle_zero_area,,,,26043417.0,ns,3132
Zero Area Checks,any_circle_zero_area,,,,26979500.0,ns,3240
Zero Area Checks,any_circle_zero_area,,,,27602625.0,ns,3348
Zero Area Checks,any_circle_zero_area,,,,28503416.0,ns,3456
Zero Area Checks,any_circle_zero_area,,,,29467166.0,ns,3564
Zero Area Checks,any_circle_zero_area,,,,30286792.0,ns,3672
Zero Area Checks,any_circle_zero_area,,,,31138583.0,ns,3780
Zero Area Checks,any_circle_zero_area,,,,32079167.0,ns,3888
Zero Area Checks,any_circle_zero_area,,,,32927000.0,ns,3996
Zero Area Checks,any_circle_zero_area,,,,33858125.0,ns,4104
Zero Area Checks,any_circle_zero_area,,,,34619833.0,ns,4212
Zero Area Checks,any_circle_zero_area,,,,35665000.0,ns,4320
Zero Area Checks,any_circle_zero_area,,,,37140667.0,ns,4428
Zero Area Checks,any_circle_zero_area,,,,38430917.0,ns,4536
Zero Area Checks,any_circle_zero_area,,,,38839583.0,ns,4644
Zero Area Checks,any_circle_zero_area,,,,39405791.0,ns,4752
Zero Area Checks,any_circle_zero_area,,,,40563958.0,ns,4860
Zero Area Checks,any_circle_zero_area,,,,41156167.0,ns,4968
Zero Area Checks,any_circle_zero_area,,,,42590292.0,ns,5076
Zero Area Checks,any_circle_zero_area,,,,43040417.0,ns,5184
Zero Area Checks,any_circle_zero_area,,,,47463459.0,ns,5292
Zero Area Checks,any_circle_zero_area,,,,49697291.0,ns,5400
Zero Area Checks,any_circle_zero_area,,,,46076333.0,ns,5508
Zero Area Checks,any_circle_zero_area,,,,46865792.0,ns,5616
Zero Area Checks,any_circle_zero_area,,,,47283792.0,ns,5724
Zero Area Checks,any_circle_zero_area,,,,49097208.0,ns,5832
Zero Area Checks,any_circle_zero_area,,,,51336375.0,ns,5940
Zero Area Checks,any_circle_zero_area,,,,50181042.0,ns,6048
Zero Area Checks,any_circle_zero_area,,,,51135167.0,ns,6156
Zero Area Checks,any_circle_zero_area,,,,52368000.0,ns,6264
Zero Area Checks,any_circle_zero_area,,,,52860541.0,ns,6372
Zero Area Checks,any_circle_zero_area,,,,53565334.0,ns,6480
Zero Area Checks,any_circle_zero_area,,,,55057916.0,ns,6588
Zero Area Checks,any_circle_zero_area,,,,57142000.0,ns,6696
Zero Area Checks,any_circle_zero_area,,,,56441083.0,ns,6804
Zero Area Checks,any_circle_zero_area,,,,57474167.0,ns,6912
