group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,913333.0,ns,29
Zero Area Checks,any_shape_zero_area,,,,2050500.0,ns,58
Zero Area Checks,any_shape_zero_area,,,,3216875.0,ns,87
Zero Area Checks,any_shape_zero_area,,,,3813208.0,ns,116
Zero Area Checks,any_shape_zero_area,,,,4940334.0,ns,145
Zero Area Checks,any_shape_zero_area,,,,5807667.0,ns,174
Zero Area Checks,any_shape_zero_area,,,,6453166.0,ns,203
Zero Area Checks,any_shape_zero_area,,,,7379541.0,ns,232
Zero Area Checks,any_shape_zero_area,,,,8539667.0,ns,261
Zero Area Checks,any_shape_zero_area,,,,9304958.0,ns,290
Zero Area Checks,any_shape_zero_area,,,,10329875.0,ns,319
Zero Area Checks,any_shape_zero_area,,,,11191042.0,ns,348
Zero Area Checks,any_shape_zero_area,,,,12098125.0,ns,377
Zero Area Checks,any_shape_zero_area,,,,13115333.0,ns,406
Zero Area Checks,any_shape_zero_area,,,,14732625.0,ns,435
Zero Area Checks,any_shape_zero_area,,,,14909666.0,ns,464
Zero Area Checks,any_shape_zero_area,,,,16169084.0,ns,493
Zero Area Checks,any_shape_zero_area,,,,16870000.0,ns,522
Zero Area Checks,any_shape_zero_area,,,,17633334.0,ns,551
Zero Area Checks,any_shape_zero_area,,,,18876667.0,ns,580
Zero Area Checks,any_shape_zero_area,,,,19700208.0,ns,609
Zero Area Checks,any_shape_zero_area,,,,20454917.0,ns,638
Zero Area Checks,any_shape_zero_area,,,,21754083.0,ns,667
Zero Area Checks,any_shape_zero_area,,,,23461208.0,ns,696
Zero Area Checks,any_shape_zero_area,,,,23481500.0,ns,725
Zero Area Checks,any_shape_zero_area,,,,24629791.0,ns,754
Zero Area Checks,any_shape_zero_area,,,,25467417.0,ns,783
Zero Area Checks,any_shape_zero_area,,,,26523958.0,ns,812
Zero Area Checks,any_shape_zero_area,,,,27886875.0,ns,841
Zero Area Checks,any_shape_zero_area,,,,28487083.0,ns,870
Zero Area Checks,any_shape_zero_area,,,,28852875.0,ns,899
Zero Area Checks,any_shape_zero_area,,,,29926125.0,ns,928
Zero Area Checks,any_shape_zero_area,,,,31230458.0,ns,957
Zero Area Checks,any_shape_zero_area,,,,31853541.0,ns,986
Zero Area Checks,any_shape_zero_area,,,,32739166.0,ns,1015
Zero Area Checks,any_shape_zero_area,,,,33815584.0,ns,1044
Zero Area Checks,any_shape_zero_area,,,,34344708.0,ns,1073
Zero Area Checks,any_shape_zero_area,,,,35428500.0,ns,1102
Zero Area Checks,any_shape_zero_area,,,,35923291.0,ns,1131
Zero Area Checks,any_shape_zero_area,,,,36662666.0,ns,1160
Zero Area Checks,any_shape_zero_area,,,,37593875.0,ns,1189
Zero Area Checks,any_shape_zero_area,,,,38418375.0,ns,1218
Zero Area Checks,any_shape_zero_area,,,,39376208.0,ns,1247
Zero Area Checks,any_shape_zero_area,,,,40365292.0,ns,1276
Zero Area Checks,any_shape_zero_area,,,,41251834.0,ns,1305
Zero Area Checks,any_shape_zero_area,,,,42334333.0,ns,1334
Zero Area Checks,any_shape_zero_area,,,,43959750.0,ns,1363
Zero Area Checks,any_shape_zero_area,,,,45134083.0,ns,1392
Zero Area Checks,any_shape_zero_area,,,,45676708.0,ns,1421
Zero Area Checks,any_shape_zero_area,,,,46952375.0,ns,1450
Zero Area Checks,any_shape_zero_area,,,,48099083.0,ns,1479
Zero Area Checks,any_shape_zero_area,,,,50564209.0,ns,1508
Zero Area Checks,any_shape_zero_area,,,,49537792.0,ns,1537
Zero Area Checks,any_shape_zero_area,,,,50574833.0,ns,1566
Zero Area Checks,any_shape_zero_area,,,,50998125.0,ns,1595
Zero Area Checks,any_shape_zero_area,,,,52126000.0,ns,1624
Zero Area Checks,any_shape_zero_area,,,,52838208.0,ns,1653
Zero Area Checks,any_shape_zero_area,,,,55827042.0,ns,1682
Zero Area Checks,any_shape_zero_area,,,,57289375.0,ns,1711
Zero Area Checks,any_shape_zero_area,,,,56058666.0,ns,1740
Zero Area Checks,any_shape_zero_area,,,,57125416.0,ns,1769
Zero Area Checks,any_shape_zero_area,,,,58016125.0,ns,1798
Zero Area Checks,any_shape_zero_area,,,,59869167.0,ns,1827
Zero Area Checks,any_shape_zero_area,,,,59461167.0,ns,1856
Zero Area Checks,any_shape_zero_area,,,,59765583.0,ns,1885
Zero Area Checks,any_shape_zero_area,,,,60577417.0,ns,1914
Zero Area Checks,any_shape_zero_area,,,,61401250.0,ns,1943
Zero Area Checks,any_shape_zero_area,,,,63424000.0,ns,1972
Zero Area Checks,any_shape_zero_area,,,,64785042.0,ns,2001
Zero Area Checks,any_shape_zero_area,,,,65479458.0,ns,2030
Zero Area Checks,any_shape_zero_area,,,,66118417.0,ns,2059
Zero Area Checks,any_shape_zero_area,,,,66379292.0,ns,2088
Zero Area Checks,any_shape_zero_area,,,,68278667.0,ns,2117
Zero Area Checks,any_shape_zero_area,,,,68486709.0,ns,2146
Zero Area Checks,any_shape_zero_area,,,,69403417.0,ns,2175
Zero Area Checks,any_shape_zero_area,,,,69892792.0,ns,2204
Zero Area Checks,any_shape_zero_area,,,,72355750.0,ns,2233
Zero Area Checks,any_shape_zero_area,,,,72012791.0,ns,2262
