group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,1024834.0,ns,29
Zero Area Checks,any_shape_zero_area,,,,1969000.0,ns,58
Zero Area Checks,any_shape_zero_area,,,,2991042.0,ns,87
Zero Area Checks,any_shape_zero_area,,,,4285458.0,ns,116
Zero Area Checks,any_shape_zero_area,,,,5088042.0,ns,145
Zero Area Checks,any_shape_zero_area,,,,5780958.0,ns,174
Zero Area Checks,any_shape_zero_area,,,,6688917.0,ns,203
Zero Area Checks,any_shape_zero_area,,,,7347583.0,ns,232
Zero Area Checks,any_shape_zero_area,,,,8242708.0,ns,261
Zero Area Checks,any_shape_zero_area,,,,9165583.0,ns,290
Zero Area Checks,any_shape_zero_area,,,,10053166.0,ns,319
Zero Area Checks,any_shape_zero_area,,,,10978125.0,ns,348
Zero Area Checks,any_shape_zero_area,,,,11845417.0,ns,377
Zero Area Checks,any_shape_zero_area,,,,12827750.0,ns,406
Zero Area Checks,any_shape_zero_area,,,,13745792.0,ns,435
Zero Area Checks,any_shape_zero_area,,,,14876958.0,ns,464
Zero Area Checks,any_shape_zero_area,,,,15579875.0,ns,493
Zero Area Checks,any_shape_zero_area,,,,16442583.0,ns,522
Zero Area Checks,any_shape_zero_area,,,,17420750.0,ns,551
Zero Area Checks,any_shape_zero_area,,,,18265541.0,ns,580
Zero Area Checks,any_shape_zero_area,,,,19215916.0,ns,609
Zero Area Checks,any_shape_zero_area,,,,20100375.0,ns,638
Zero Area Checks,any_shape_zero_area,,,,21056166.0,ns,667
Zero Area Checks,any_shape_zero_area,,,,21991250.0,ns,696
Zero Area Checks,any_shape_zero_area,,,,22841083.0,ns,725
Zero Area Checks,any_shape_zero_area,,,,23781959.0,ns,754
Zero Area Checks,any_shape_zero_area,,,,24692292.0,ns,783
Zero Area Checks,any_shape_zero_area,,,,25655583.0,ns,812
Zero Area Checks,any_shape_zero_area,,,,26881792.0,ns,841
Zero Area Checks,any_shape_zero_area,,,,27932000.0,ns,870
Zero Area Checks,any_shape_zero_area,,,,29087500.0,ns,899
Zero Area Checks,any_shape_zero_area,,,,29353750.0,ns,928
Zero Area Checks,any_shape_zero_area,,,,30194334.0,ns,957
Zero Area Checks,any_shape_zero_area,,,,31176833.0,ns,986
Zero Area Checks,any_shape_zero_area,,,,31994917.0,ns,1015
Zero Area Checks,any_shape_zero_area,,,,33040250.0,ns,1044
Zero Area Checks,any_shape_zero_area,,,,34102166.0,ns,1073
Zero Area Checks,any_shape_zero_area,,,,35147958.0,ns,1102
Zero Area Checks,any_shape_zero_area,,,,37178791.0,ns,1131
Zero Area Checks,any_shape_zero_area,,,,37170416.0,ns,1160
Zero Area Checks,any_shape_zero_area,,,,38091000.0,ns,1189
Zero Area Checks,any_shape_zero_area,,,,39240750.0,ns,1218
Zero Area Checks,any_shape_zero_area,,,,39416250.0,ns,1247
Zero Area Checks,any_shape_zero_area,,,,40203792.0,ns,1276
Zero Area Checks,any_shape_zero_area,,,,41131333.0,ns,1305
Zero Area Checks,any_shape_zero_area,,,,42057791.0,ns,1334
Zero Area Checks,any_shape_zero_area,,,,43037625.0,ns,1363
Zero Area Checks,any_shape_zero_area,,,,43892500.0,ns,1392
Zero Area Checks,any_shape_zero_area,,,,44852667.0,ns,1421
Zero Area Checks,any_shape_zero_area,,,,45698500.0,ns,1450
Zero Area Checks,any_shape_zero_area,,,,46614000.0,ns,1479
Zero Area Checks,any_shape_zero_area,,,,47820750.0,ns,1508
Zero Area Checks,any_shape_zero_area,,,,48596000.0,ns,1537
